date,stock,current_price,change_pct,rsi,ema20,ema50,ema200,vwap,macd,volume,avg_volume,confidence,entry,target_1,target_2,stop_loss,trend,intraday_signal,long_term_signal,timeframe,timeframe_t2,risk_reward,rank
2026-08-08T07:09:09.643Z,BAJAJFINSV,2008.9,-3.7,59.54,1962.13,1885.49,1882.64,1918.82,11.331,2416624,1582012,100,2008.9,2106.66,2155.55,1935.58,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.680Z,GRASIM,3323,3.2,63.99,3169.68,3116.92,2939.86,2858.1,15.949,1071215,537125,100,3323,3469.7,3543.04,3212.98,Bullish,BUY,BUY,3 days,1 week,1.33,1
2026-08-08T07:09:09.710Z,CHOLAFIN,1866.2,-0.73,68.06,1813.63,1744.68,1647.94,1635.42,11.873,2644332,1580687,100,1866.2,1979.98,2036.87,1780.86,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.716Z,TATACAP,370.3,-3.24,58.77,360.29,349.82,336.55,336.97,1.777,3710557,2170668,100,370.3,392.86,404.14,353.38,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.727Z,TECHM,1635,0.17,65.31,1590.81,1529.33,1493.25,1496.73,0.944,6089110,3174552,100,1635,1720.1,1762.65,1571.17,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.863Z,AUROPHARMA,1658,4.35,65.23,1572.34,1530.84,1360.96,1273.18,6.324,2001257,1038070,100,1658,1746.25,1790.38,1591.81,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.963Z,BERGEPAINT,530.55,-2.69,62.67,515.68,508.72,504.34,512.95,5.231,1078895,363865,100,530.55,563.26,579.61,506.02,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.005Z,AIIL,596.6,4.57,68.1,547.79,528.07,525.5,548.04,3.636,3428888,627039,100,596.6,642.8,665.9,561.95,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.038Z,NAVINFLUOR,8271,-4.38,61.36,7750.04,7506.98,6614.84,6425.03,61.478,590351,331221,100,8271,8847.84,9136.26,7838.37,Bullish,BUY,BUY,3 days,1 week,1.33,1
2026-08-08T07:09:10.084Z,MEDANTA,1455.6,3.21,66.37,1383.47,1321.3,1240.93,1256.95,3.756,362251,223841,100,1455.6,1533.34,1572.21,1397.3,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.098Z,EMCURE,1978.4,0.99,59.73,1892.2,1824.09,1634.25,1555.35,5.678,270432,148476,100,1978.4,2088.91,2144.17,1895.52,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.192Z,SAILIFE,1365.2,-3.42,63.03,1310.35,1245.69,1066.32,955.11,9.084,931312,471432,100,1365.2,1449.84,1492.16,1301.72,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.245Z,PTCIL,19076,5.44,59.61,17869.55,17647.88,17074.52,16997.87,35.979,25380,12481,100,19076,19937.67,20368.5,18429.75,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.307Z,DEEPAKNTR,1796.5,2.63,66.05,1694.6,1671.72,1664.44,1681.68,11.296,1628102,440845,100,1796.5,1911.33,1968.75,1710.38,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.451Z,TRAVELFOOD,1428.6,5.98,56.67,1312.66,1292.4,1240.14,1230.07,5.129,80581,22867,100,1428.6,1514.09,1556.84,1364.48,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.526Z,AEQUS,248.31,3.87,61.77,234.48,222.88,182.97,184.73,0.283,5616343,3700926,100,248.31,270.67,281.85,231.54,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.562Z,ORBTEXP,252.72,1.12,64.35,236.69,220.37,195.81,216.31,0.674,94041,19325,100,252.72,274.92,286.02,236.07,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.620Z,TITAN,4941,-1.14,68.29,4785.47,4584.95,4209.57,4052.55,7.857,1166858,784218,93,4941,5115.14,5202.21,4810.39,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.626Z,M&M,3502,2.82,68.84,3299.54,3213.45,3266.23,3333.68,24.681,3299237,2549908,93,3502,3665.32,3746.98,3379.51,Bullish,BUY,HOLD,3 days,1 week,1.33,4
2026-08-08T07:09:09.647Z,JSWSTEEL,1299.5,-2.29,62.07,1271.22,1260.91,1214.41,1191.97,8.138,2307926,1819282,93,1299.5,1353.7,1380.8,1258.85,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.740Z,UNIONBANK,183.6,0.6,66.94,173.22,171.32,165.65,166.31,1.392,22186841,18725193,93,183.6,193.49,198.43,176.18,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.776Z,CIPLA,1463.8,0.34,60.86,1447.42,1423.09,1409.17,1416.65,3.048,1462279,1393196,93,1463.8,1523.71,1553.66,1418.87,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.778Z,INDIANB,889.5,1.32,66.27,843.78,841.43,830.94,836.45,6.097,4024185,2813207,93,889.5,933.3,955.19,856.65,Bullish,BUY,BUY,3 days,5 days,1.33,1
2026-08-08T07:09:09.831Z,BHARATFORG,2265.2,2.5,68.38,2178.68,2104.02,1793.01,1651.91,1.97,1152060,797667,93,2265.2,2366.08,2416.52,2189.54,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.870Z,MEESHO,191.35,2.78,55.81,187.19,184.49,175.64,186.6,0.174,11848696,11195284,93,191.35,205.57,212.68,180.68,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.026Z,PREMIERENE,1047.2,0.53,50.67,1042.42,1038.52,977.85,922.94,0.021,2579738,1197815,93,1047.2,1113.57,1146.75,997.42,Neutral,BUY,BUY,4 days,1 week,1.33,19
2026-08-08T07:09:10.052Z,GLAND,2601,2.2,64.21,2488.4,2367.87,2063.74,2128.55,7.182,503618,445909,93,2601,2760.94,2840.91,2481.05,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.149Z,CRISIL,4607,1.24,68.05,4365.07,4234.5,4360.19,4386.77,14.867,87549,85795,93,4607,4857.17,4982.25,4419.38,Bullish,BUY,HOLD,4 days,1 week,1.33,4
2026-08-08T07:09:10.195Z,PNBHOUSING,1143,-0.61,63.15,1089.69,1060.38,957.96,911.29,5.33,1476731,1067783,93,1143,1216.73,1253.6,1087.7,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.240Z,NETWEB,4939.2,2.56,65.17,4537.18,4420.9,3800.94,3698.95,78.128,1296942,1205711,93,4939.2,5330.74,5526.51,4645.55,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.312Z,BELRISE,248.21,1.47,64.43,236.72,231.07,201.04,177.37,1.567,6171893,4322610,93,248.21,261.93,268.79,237.92,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.386Z,ATUL,6774,-0.29,62.36,6578.16,6544.26,6469.15,6354.46,57.926,85917,82488,93,6774,7144.41,7329.61,6496.19,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.441Z,LMW,16629,1.57,60.34,16143.93,15857.84,15262.01,14877.83,33.45,6652,4595,93,16629,17559.44,18024.66,15931.17,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.514Z,RAINBOW,1556.7,-2.62,68.15,1506.38,1447.02,1362.83,1316.7,8.214,100916,94263,93,1556.7,1638.32,1679.13,1495.49,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.519Z,AZAD,2489,1.35,62.08,2363.14,2248.92,1928.7,1950.24,0.826,534729,533504,93,2489,2679.25,2774.38,2346.31,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.540Z,SHAILY,3162.3,-6.06,61.52,3013.07,2881.09,2481.97,2371.54,33.712,268206,211205,93,3162.3,3407.05,3529.42,2978.74,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.546Z,FINEORG,5162.1,4.49,53.37,4934.4,4908.52,4719.42,4619.05,6.231,15029,9865,93,5162.1,5441.83,5581.7,4952.3,Neutral,BUY,BUY,4 days,1 week,1.33,19
2026-08-08T07:09:09.606Z,SBIN,1097.2,1.12,70.69,1042.51,1032.89,1005.91,1012.37,6.868,29410622,11044499,90,1097.2,1139.49,1160.64,1065.48,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.673Z,HINDALCO,1059.6,3.17,69.65,988.7,992.73,939.5,908.17,14.045,9284747,5008352,90,1059.6,1105.84,1128.96,1024.92,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.714Z,MOTHERSON,168.5,8.71,76.44,150.39,145.13,128.25,122.86,1.756,115582755,22141504,90,168.5,178.99,184.23,160.63,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.794Z,ENRIN,3648.8,12.19,62.72,3353.95,3387.36,3199.04,3157.09,29.594,7973925,763510,90,3648.8,3935.03,4078.14,3434.13,Neutral,BUY,BUY,4 days,1 week,1.33,19
2026-08-08T07:09:09.811Z,HEROMOTOCO,5725,3.14,73.15,5281.43,5130.38,5195.91,5355.39,62.195,1914675,778407,90,5725,5995.31,6130.46,5522.27,Bullish,BUY,HOLD,3 days,5 days,1.33,4
2026-08-08T07:09:09.909Z,ASTERDM,869.7,2.99,71.75,819.76,793.47,711.22,681.16,4.405,1037107,657798,90,869.7,923.68,950.67,829.21,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:09.995Z,HINDCOPPER,536.1,-1.8,65.38,502.57,506.41,476.39,492.02,7.584,9431736,5175801,90,536.1,568.38,584.52,511.89,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.159Z,TATATECH,872.8,8.89,75.81,758.07,730.43,675.66,673.96,11.234,16058460,2124530,90,872.8,933.36,963.64,827.38,Bullish,BUY,BUY,4 days,1 week,1.33,1
2026-08-08T07:09:10.231Z,NEULANDLAB,22855,6.09,78.22,19598.47,18489.03,16115.47,16333.76,301.359,313887,89059,90,22855,24564.2,25418.8,21573.1,Bullish,BUY,BUY,4 days,1 week,1.33,1
